Date,Close
28/9/2018,233.75
27/9/2018,233.25
26/9/2018,234.25
25/9/2018,236.1
24/9/2018,233.3
21/9/2018,234.6
19/9/2018,234.9
18/9/2018,235.05
17/9/2018,236.6
14/9/2018,233.95
12/9/2018,222.65
11/9/2018,216
10/9/2018,222
7/9/2018,222.95
6/9/2018,221.05
5/9/2018,222.4
4/9/2018,223.7
3/9/2018,236.7
31/8/2018,234.3
30/8/2018,236
29/8/2018,234.55
28/8/2018,233.35
27/8/2018,237.05
24/8/2018,231
23/8/2018,235.45
21/8/2018,240.55
20/8/2018,245.15
17/8/2018,243
16/8/2018,239.35
14/8/2018,237.55
13/8/2018,234.55
10/8/2018,233.55
9/8/2018,237.3
8/8/2018,236.35
7/8/2018,237.6
6/8/2018,239.5
3/8/2018,234.65
2/8/2018,235.45
1/8/2018,235.65
31/7/2018,246.9
30/7/2018,242.2
27/7/2018,242.25
26/7/2018,239.1
25/7/2018,236.9
24/7/2018,246.3
23/7/2018,243.3
20/7/2018,238.6
19/7/2018,233.1
18/7/2018,238.65
17/7/2018,247.9
16/7/2018,243.25
13/7/2018,258.9
12/7/2018,265.2
11/7/2018,269.8
10/7/2018,274.75
9/7/2018,275.25
6/7/2018,266.3
5/7/2018,271.25
4/7/2018,277.3
3/7/2018,281
2/7/2018,264.45
29/6/2018,269.35
28/6/2018,263.95
27/6/2018,265.6
26/6/2018,267.35
25/6/2018,264.5
22/6/2018,262.1
21/6/2018,258.2
20/6/2018,260.85
19/6/2018,267.05
18/6/2018,275.35
15/6/2018,272.15
14/6/2018,277.8
13/6/2018,269.6
12/6/2018,267.6
11/6/2018,263.7
8/6/2018,266.95
7/6/2018,267.1
6/6/2018,265.75
5/6/2018,263.75
4/6/2018,255.25
1/6/2018,263.25
31/5/2018,269.2
30/5/2018,264.5
29/5/2018,257.5
28/5/2018,260.65
25/5/2018,257.85
24/5/2018,254.5
23/5/2018,250.2
22/5/2018,247.15
21/5/2018,243.55
18/5/2018,244.7
17/5/2018,247.5
16/5/2018,241.1
15/5/2018,242.65
14/5/2018,255.9
